epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5212,1.46097,3.8268,1.60759,0.00704,0.5019,0.09509,0.0593,1.54316,3.78133,1.59954,0.000325,0.000325,0.000325
2,36.9338,1.49595,3.24843,1.6131,0.83063,0.11147,0.1432,0.07745,1.68506,3.18814,1.90037,0.000655075,0.000655075,0.000655075
3,53.6076,1.58613,2.97942,1.67597,0.31986,0.22522,0.11322,0.05421,2.00012,3.33254,2.26335,0.000981849,0.000981849,0.000981849
4,72.9988,1.62471,2.83449,1.71462,0.25721,0.20552,0.15946,0.073,2.25118,3.13072,3.15983,0.00098515,0.00098515,0.00098515
5,90.4023,1.56538,2.66041,1.68822,0.47521,0.23292,0.18319,0.08561,1.95122,4.0326,2.32382,0.0009802,0.0009802,0.0009802
6,109.832,1.61551,2.62739,1.71869,0.23117,0.23931,0.19252,0.09122,2.04708,3.72293,2.35191,0.00097525,0.00097525,0.00097525
7,127.356,1.56932,2.44704,1.68233,0.47451,0.28333,0.2693,0.13246,1.77694,2.45647,1.98865,0.0009703,0.0009703,0.0009703
8,145.512,1.50959,2.36434,1.60226,0.30655,0.32043,0.24691,0.11625,1.84113,2.78767,2.17668,0.00096535,0.00096535,0.00096535
9,163.899,1.46886,2.30204,1.62496,0.39796,0.39131,0.34373,0.17606,1.65003,2.46712,2.00686,0.0009604,0.0009604,0.0009604
10,181.189,1.44558,2.10976,1.58895,0.48412,0.37323,0.37834,0.20469,1.58353,1.9994,1.83758,0.00095545,0.00095545,0.00095545
11,198.918,1.48609,2.13662,1.59344,0.37816,0.37651,0.35507,0.18548,1.6668,1.86111,1.80005,0.0009505,0.0009505,0.0009505
12,220.036,1.4543,2.03164,1.58901,0.55285,0.29046,0.31611,0.15958,1.76136,2.1256,1.99849,0.00094555,0.00094555,0.00094555
13,244.206,1.48596,2.0839,1.61406,0.41553,0.36269,0.34066,0.17326,1.59716,2.01863,1.78509,0.0009406,0.0009406,0.0009406
14,267.303,1.38561,1.96788,1.5376,0.54105,0.29764,0.32238,0.16539,1.61291,2.25865,1.78552,0.00093565,0.00093565,0.00093565
15,285.966,1.40082,1.93541,1.55161,0.50306,0.33613,0.3863,0.19472,1.55941,1.91584,1.72981,0.0009307,0.0009307,0.0009307
16,304.956,1.40901,1.89427,1.55482,0.3684,0.31217,0.26731,0.13395,1.65156,2.2651,1.87826,0.00092575,0.00092575,0.00092575
17,323.856,1.40938,1.88453,1.56643,0.4671,0.34501,0.35846,0.18526,1.63988,1.97159,1.81053,0.0009208,0.0009208,0.0009208
18,355.052,1.35526,1.74628,1.49826,0.54331,0.31094,0.34737,0.17678,1.67516,1.96446,1.86887,0.00091585,0.00091585,0.00091585
19,378.078,1.37954,1.77747,1.51161,0.44852,0.29578,0.32997,0.17101,1.69665,1.90791,1.82325,0.0009109,0.0009109,0.0009109
20,398.506,1.40316,1.73405,1.53824,0.49559,0.36485,0.38177,0.19148,1.69803,1.762,1.85709,0.00090595,0.00090595,0.00090595
21,418.911,1.33685,1.76441,1.50626,0.53854,0.41376,0.42808,0.22666,1.59435,1.96844,1.77124,0.000901,0.000901,0.000901
22,435.521,1.36275,1.75185,1.51113,0.72691,0.34328,0.43124,0.22826,1.57058,1.98885,1.78103,0.00089605,0.00089605,0.00089605
23,452.794,1.30195,1.63261,1.48057,0.5048,0.44778,0.46324,0.24778,1.51208,1.60849,1.70876,0.0008911,0.0008911,0.0008911
24,469.154,1.26897,1.55672,1.46686,0.43585,0.38028,0.32659,0.18385,1.67093,2.35114,1.87157,0.00088615,0.00088615,0.00088615
25,485.287,1.3029,1.59069,1.4629,0.50565,0.43302,0.4424,0.26174,1.43414,1.62921,1.64962,0.0008812,0.0008812,0.0008812
26,502.398,1.25893,1.55048,1.44941,0.57978,0.30193,0.35323,0.18949,1.69177,3.63021,1.90789,0.00087625,0.00087625,0.00087625
27,519.336,1.27544,1.55841,1.45397,0.62509,0.36032,0.44554,0.25433,1.48979,1.62902,1.68348,0.0008713,0.0008713,0.0008713
28,536.313,1.29147,1.55391,1.45624,0.73918,0.42842,0.4759,0.25644,1.46947,1.58531,1.65481,0.00086635,0.00086635,0.00086635
29,552.716,1.23822,1.50312,1.43275,0.62365,0.37794,0.43259,0.24146,1.56447,1.68919,1.75267,0.0008614,0.0008614,0.0008614
30,568.476,1.3418,1.58048,1.48673,0.56068,0.38477,0.37436,0.20453,1.44996,2.16136,1.63261,0.00085645,0.00085645,0.00085645
31,584.629,1.24859,1.48574,1.45423,0.63027,0.34782,0.43873,0.2533,1.45106,1.66469,1.6567,0.0008515,0.0008515,0.0008515
32,600.594,1.27852,1.52494,1.45935,0.73003,0.44287,0.50534,0.27925,1.49212,1.61227,1.71042,0.00084655,0.00084655,0.00084655
33,616.306,1.23252,1.44314,1.40693,0.58513,0.40331,0.45843,0.25452,1.46028,1.63164,1.64062,0.0008416,0.0008416,0.0008416
34,632.212,1.25391,1.46866,1.43877,0.74926,0.402,0.4744,0.26792,1.51253,1.68387,1.72689,0.00083665,0.00083665,0.00083665
35,648.888,1.22776,1.4024,1.43057,0.57442,0.45951,0.48349,0.28488,1.43426,1.58306,1.61977,0.0008317,0.0008317,0.0008317
36,665.443,1.21876,1.41185,1.41903,0.5942,0.49125,0.51254,0.29503,1.425,1.42303,1.60078,0.00082675,0.00082675,0.00082675
37,681.809,1.22986,1.44369,1.43716,0.691,0.43865,0.50813,0.27486,1.48279,1.44355,1.62876,0.0008218,0.0008218,0.0008218
38,698.419,1.25335,1.43553,1.43197,0.73131,0.41345,0.4775,0.25937,1.45116,1.57759,1.60896,0.00081685,0.00081685,0.00081685
39,715.045,1.19116,1.3664,1.39596,0.49013,0.39496,0.38081,0.21845,1.53627,1.7651,1.73612,0.0008119,0.0008119,0.0008119
40,730.956,1.2355,1.39984,1.42368,0.5471,0.43414,0.45788,0.26836,1.41222,1.52068,1.60613,0.00080695,0.00080695,0.00080695
41,747.294,1.18476,1.32488,1.38012,0.61365,0.44085,0.48706,0.29083,1.40674,1.57448,1.6459,0.000802,0.000802,0.000802
42,764.287,1.20882,1.3243,1.3943,0.5918,0.42844,0.46149,0.26513,1.41185,1.54538,1.62199,0.00079705,0.00079705,0.00079705
43,780.899,1.15335,1.35043,1.37293,0.62285,0.46973,0.52044,0.30922,1.34263,1.44664,1.56267,0.0007921,0.0007921,0.0007921
44,798.048,1.18687,1.29,1.3949,0.61668,0.37831,0.44721,0.25402,1.45019,1.61284,1.62012,0.00078715,0.00078715,0.00078715
45,814.284,1.22736,1.35856,1.40363,0.62883,0.40295,0.46878,0.27284,1.39259,1.54556,1.58227,0.0007822,0.0007822,0.0007822
46,830.014,1.1374,1.27232,1.37959,0.71962,0.47909,0.53108,0.29956,1.42565,1.43096,1.58841,0.00077725,0.00077725,0.00077725
47,845.573,1.1518,1.25125,1.38282,0.62087,0.48744,0.51501,0.3142,1.37051,1.46888,1.55534,0.0007723,0.0007723,0.0007723
48,860.988,1.08479,1.22492,1.32116,0.6321,0.40873,0.4627,0.29286,1.36162,1.42707,1.59804,0.00076735,0.00076735,0.00076735
49,876.523,1.19294,1.24756,1.38243,0.80644,0.41002,0.50444,0.28834,1.4072,1.42106,1.57402,0.0007624,0.0007624,0.0007624
50,893.115,1.13616,1.21835,1.35191,0.53612,0.46278,0.47479,0.29036,1.37876,1.40022,1.56635,0.00075745,0.00075745,0.00075745
51,910.262,1.07103,1.19695,1.29518,0.64758,0.51586,0.54953,0.33604,1.34618,1.32392,1.53614,0.0007525,0.0007525,0.0007525
52,926.727,1.12448,1.18729,1.34783,0.52488,0.48858,0.50794,0.27903,1.4199,1.64612,1.58904,0.00074755,0.00074755,0.00074755
53,942.938,1.14335,1.23469,1.35386,0.73576,0.43556,0.5147,0.30403,1.34826,1.42212,1.56119,0.0007426,0.0007426,0.0007426
54,959.58,1.13265,1.20609,1.31813,0.68227,0.46834,0.53223,0.30633,1.3313,1.45022,1.54958,0.00073765,0.00073765,0.00073765
55,977.034,1.11512,1.16988,1.33007,0.75492,0.46565,0.52547,0.28444,1.42185,1.4517,1.60303,0.0007327,0.0007327,0.0007327
56,994.27,1.1324,1.18388,1.35266,0.61276,0.48129,0.51171,0.30484,1.32651,1.35558,1.52064,0.00072775,0.00072775,0.00072775
57,1011.08,1.17866,1.23578,1.3632,0.68594,0.45924,0.51747,0.30471,1.37294,1.38806,1.54205,0.0007228,0.0007228,0.0007228
58,1027.71,1.16019,1.23099,1.34463,0.59285,0.51129,0.52272,0.29705,1.39292,1.45347,1.56431,0.00071785,0.00071785,0.00071785
59,1043.93,1.01862,1.10446,1.28822,0.71209,0.46146,0.5182,0.27915,1.41166,1.45988,1.60585,0.0007129,0.0007129,0.0007129
60,1062.1,1.08855,1.13751,1.33095,0.66623,0.52994,0.5673,0.30666,1.35407,1.35588,1.55938,0.00070795,0.00070795,0.00070795
61,1080.41,1.14723,1.1718,1.33755,0.72702,0.48178,0.53837,0.31796,1.30771,1.34867,1.47105,0.000703,0.000703,0.000703
62,1096.7,1.11451,1.1518,1.33663,0.65443,0.46491,0.52054,0.31978,1.32906,1.36829,1.49764,0.00069805,0.00069805,0.00069805
63,1112.36,1.07096,1.10474,1.29483,0.74292,0.49905,0.55674,0.32642,1.31887,1.25873,1.5166,0.0006931,0.0006931,0.0006931
64,1127.83,1.10799,1.12172,1.34027,0.65321,0.526,0.52869,0.31471,1.31589,1.38823,1.51819,0.00068815,0.00068815,0.00068815
65,1143.64,1.10112,1.12719,1.32679,0.59051,0.52162,0.52454,0.30521,1.37476,1.38395,1.53563,0.0006832,0.0006832,0.0006832
66,1160.45,1.09708,1.137,1.34956,0.66262,0.51615,0.53039,0.31542,1.28057,1.27832,1.47216,0.00067825,0.00067825,0.00067825
